Id,Start time,Completion time,Email,Name,Is a hotdog a sandwich?,Explain your answer.,What year are you? ,Where are you from? 
1,1/16/25 12:02,1/16/25 12:02,anonymous,NA,No,its just not,Fourth-Year ,nova
2,1/16/25 12:02,1/16/25 12:03,anonymous,NA,No,NA,Fourth-Year ,NA
3,1/16/25 12:02,1/16/25 12:03,anonymous,NA,No,"The bread is connected for a hot dog, while a sandwich has two separate pieces of bread.",Fourth-Year ,Northern Virginia
4,1/16/25 12:02,1/16/25 12:03,anonymous,NA,No,"A hot dog is a hot dog with or without the bread, a sandwhich without the bread is not a sandwhich",Fourth-Year ,NoVa
5,1/16/25 12:03,1/16/25 12:04,anonymous,NA,No,"The definition of a sandwich involves TWO pieces of bread; the bun on a hotdog is one entire piece of bread, just folded in half.",Fourth-Year ,"Houston, Texas"
6,1/16/25 12:04,1/16/25 12:04,anonymous,NA,No,NA,Fourth-Year ,"Vienna, Virginia"
7,1/16/25 12:03,1/16/25 12:05,anonymous,NA,No,You don't assemble the ingredients like a sandwich + you eat it vertically not horizontally like a sandwich.,Fourth-Year ,Virginia
8,1/16/25 12:04,1/16/25 12:05,anonymous,NA,No,NA,Fourth-Year ,"Arlington, VA"
9,1/16/25 12:04,1/16/25 12:05,anonymous,NA,No,NA,Fourth-Year ,san francisco 
10,1/16/25 12:05,1/16/25 12:05,anonymous,NA,No,The way of eating.,Fourth-Year ,New Jersey
11,1/16/25 12:05,1/16/25 12:05,anonymous,NA,No,NA,Fourth-Year ,NA
12,1/16/25 12:04,1/16/25 12:05,anonymous,NA,Yes ,Bread and meat,Second-Year ,Nova
13,1/16/25 12:04,1/16/25 12:05,anonymous,NA,No,It’s a single bun,Fourth-Year ,Virginia
14,1/16/25 12:04,1/16/25 12:05,anonymous,NA,Yes ,NA,Fourth-Year ,NA
15,1/16/25 12:04,1/16/25 12:05,anonymous,NA,No,"Because a hot dog bun is connected at one end, it cannot be considered a sandwich.",Fourth-Year ,"Richmond, VA"
16,1/16/25 12:04,1/16/25 12:05,anonymous,NA,No,You wouldn't cut a hot dog in half like you could for any sandwich ,Fourth-Year ,Texas
17,1/16/25 12:05,1/16/25 12:05,anonymous,NA,No,"a hotdog is its own entity and similar to a hamburger, which also isnt a sandwich",Fourth-Year ,"Arlington, Virginia"
18,1/16/25 12:04,1/16/25 12:05,anonymous,NA,No,NA,Fourth-Year ,NA
19,1/16/25 12:04,1/16/25 12:05,anonymous,NA,Yes ,Because it is on a bun in between two pieces,Fourth-Year ,MA
20,1/16/25 12:05,1/16/25 12:05,anonymous,NA,No,NA,Fourth-Year ,"Long Island, NY"
21,1/16/25 12:04,1/16/25 12:05,anonymous,NA,Yes ,Yes because the definition of a sandwich is something enclosed between two pieces of bread and a hotdog is,Fourth-Year ,New York
22,1/16/25 12:05,1/16/25 12:06,anonymous,NA,No,it's a hot dog! duh! ,Fourth-Year ,Georgia
23,1/16/25 12:06,1/16/25 12:06,anonymous,NA,No,NA,Fourth-Year ,San Francisco
24,1/16/25 12:06,1/16/25 12:06,anonymous,NA,No,Not a sandwich bc duh,Fourth-Year ,Ct
25,1/16/25 12:04,1/16/25 12:06,anonymous,NA,No,NA,Fourth-Year ,NA
26,1/16/25 12:04,1/16/25 12:06,anonymous,NA,No,it's not between two separate slices and you eat it in a different orientation,Fourth-Year ,"chesapeake, va"
27,1/16/25 12:06,1/16/25 12:06,anonymous,NA,No,NA,Fourth-Year ,Virginia
28,1/16/25 12:04,1/16/25 12:06,anonymous,NA,No,"A hot dog goes on a hot dog bun, not sandwich bread and sits on a separate part of the menu.  Or, if it is grouped with sandwiched, the menu reads ""handhelds"" and not ""sandwiches"" because hot dogs are not sandwiches.",Fourth-Year ,NY
29,1/16/25 12:04,1/16/25 12:06,anonymous,NA,No,"A hotdog is culturally different than a sandwich. The meat is not a cold cut, or typical lunch meat. The toppings are not smushed in the bread, but instead float on the meat. It does not fit the official definition. Think about it, you would cut a sandwich in calf, you would NOT but a hot dog in half. ",Fourth-Year ,"Atlanta, GA"
30,1/16/25 12:05,1/16/25 12:07,anonymous,NA,No,"yes, it has bread around a substance. however, a sandwich requires two seperate bread componnets. a hot dog is one piece of bread, so it could really be seen as an open bread sandwich. ",Fourth-Year ,nova
31,1/16/25 12:05,1/16/25 12:07,anonymous,NA,No,If you go to a food stall/restaurant/any food establishment and asked for a sandwich. You are not going to be very satisfied when they gave you a hotdog instead.,Fourth-Year ,NA
32,1/16/25 12:06,1/16/25 12:07,anonymous,NA,No,i think it is its own entity ,Fourth-Year ,Los Angeles
33,1/16/25 12:07,1/16/25 12:07,anonymous,NA,No,NA,Fourth-Year ,Philly
34,1/16/25 12:07,1/16/25 12:08,anonymous,NA,No,Bread connected wrapped on bottom vs top bottom with sides exposed,Fourth-Year ,McLean Va
35,1/16/25 12:04,1/16/25 12:08,anonymous,NA,No,There needs to be two pieces of bread for something to be a sandwich.,Graduate Student,"Leesburg, VA "
36,1/16/25 12:07,1/16/25 12:08,anonymous,NA,No,NA,Third-Year,Northern Virginia
37,1/16/25 12:08,1/16/25 12:08,anonymous,NA,No,NA,Third-Year,Charlottesville
38,1/16/25 12:08,1/16/25 12:09,anonymous,NA,No,"A hotdog is a completely different food. Otherwise, it would be considered a pork or mystery meat sandwich.",Fourth-Year ,Pennsylvania 
39,1/16/25 12:09,1/16/25 12:10,anonymous,NA,No,hotdog is its own category ,Second-Year ,staunton va 
40,1/16/25 12:10,1/16/25 12:10,anonymous,NA,No,It’s covered in 3 sides so more taco like,Fourth-Year ,Boston 
41,1/16/25 12:10,1/16/25 12:10,anonymous,NA,No,a sandwich has two pieces of bread and a hot dog bun is one piece,Third-Year,VA
42,1/16/25 12:11,1/16/25 12:11,anonymous,NA,No,It is not two pieces of separate bread,Third-Year,Virginia Beach
43,1/16/25 12:10,1/16/25 12:11,anonymous,NA,No,the hotdog bun is connected. in order to be a sandwich there needs to be two separate pieces of bread,Third-Year,"Chantilly, VA"
44,1/16/25 12:12,1/16/25 12:13,anonymous,NA,No,"If anything, a hot dog is a taco. It is one piece of bread-like covering wrapped around a filling",Fourth-Year ,Virginia
45,1/16/25 12:13,1/16/25 12:13,anonymous,NA,No,A hotdog is not a sandwich it is a hotdog.,Fourth-Year ,"Fairfax, VA"
46,1/16/25 12:13,1/16/25 12:14,anonymous,NA,No,It’s just one piece of bread… ,Fourth-Year ,NY
47,1/16/25 12:11,1/16/25 12:15,anonymous,NA,No,I have read more literature on this than I care to. A hotdog is clearly a sandwich but I have decided to vote no because of my girlfriend telling me to.,Fourth-Year ,"Poop Creek, Oregon"
48,1/16/25 12:14,1/16/25 12:15,anonymous,NA,No,it is a hotdog,Third-Year,aldie
49,1/16/25 12:14,1/16/25 12:15,anonymous,NA,No,the national hot dog and sausage council said so,Second-Year ,nova
50,1/16/25 12:15,1/16/25 12:17,anonymous,NA,No,It’s not two pieces of bread stacked on top of each other with stuff in the middle,Third-Year,"Charlottesville, VA"
51,1/16/25 12:17,1/16/25 12:17,anonymous,NA,No,NA,Third-Year,Northern Virginia
52,1/16/25 12:24,1/16/25 12:25,anonymous,NA,No,It's a taco,Fourth-Year ,Virginia
53,1/16/25 12:22,1/16/25 12:25,anonymous,NA,No,"If people say yes to this, they order off the kids menu at nice restaurants ",Fourth-Year ,The U.S 
54,1/16/25 12:25,1/16/25 12:25,anonymous,NA,No,This seems pretty obvious to me. ,Fourth-Year ,New York
55,1/16/25 12:26,1/16/25 12:26,anonymous,NA,No,NA,Fourth-Year ,Tennessee
56,1/16/25 12:30,1/16/25 12:30,anonymous,NA,No,It’s just not,Fourth-Year ,Austin TX
